parameter,case,factor,expected_cost,expected_profit,profit_change_from_baseline,policy_signature,policy_changed,num_states,iterations,bellman_residual
defect_rates,4,1.10,42.435897436,13.564102564,-1.185897436,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,407,25,4.263256414561e-14
defect_rates,4,1.20,43.684210526,12.315789474,-2.434210526,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,539,26,5.684341886081e-14
defect_rates,5,0.80,37.954699375,18.045300625,2.595301001,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,98,24,1.180211484098e-11
defect_rates,5,0.90,39.231390732,16.768609268,1.318609644,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,486,26,6.565414878423e-12
defect_rates,5,1.00,40.550000376,15.449999624,0.000000000,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,9.919176591211e-12
defect_rates,5,1.10,41.824368593,14.175631407,-1.274368217,buy_p2_test>buy_p1_notest>assemble_test_disassemble>inspect_p1,1,344,27,2.837907686626e-11
defect_rates,5,1.20,43.032727523,12.967272477,-2.482727146,buy_p2_test>buy_p1_notest>assemble_test_disassemble>inspect_p1,1,152,28,1.511324398962e-11
defect_rates,6,0.80,32.950665509,23.049334491,1.370664131,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,509,26,4.186517799099e-11
defect_rates,6,0.90,33.628821486,22.371178514,0.692508153,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,869,28,2.142286348317e-11
defect_rates,6,1.00,34.321329640,21.678670360,0.000000000,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
defect_rates,6,1.10,35.028571665,20.971428335,-0.707242026,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,313,30,4.171596401648e-11
defect_rates,6,1.20,35.702782620,20.297217380,-1.381452981,buy_p1_test>buy_p2_notest>assemble_notest_scrap>buy_p1_test,1,273,28,2.929567699539e-11
exchange_loss,1,0.80,36.811112106,19.188887894,0.266666673,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.502087343397e-11
exchange_loss,1,0.90,36.944445442,19.055554558,0.133333336,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.501376800661e-11
exchange_loss,1,1.00,37.077778779,18.922221221,0.000000000,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.501376800661e-11
exchange_loss,1,1.10,37.211112115,18.788887885,-0.133333336,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.501376800661e-11
exchange_loss,1,1.20,37.344445451,18.655554549,-0.266666673,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.502087343397e-11
exchange_loss,2,0.80,43.700000000,12.300000000,0.300000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,3.552713678801e-14
exchange_loss,2,0.90,43.850000000,12.150000000,0.150000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,4.263256414561e-14
exchange_loss,2,1.00,44.000000000,12.000000000,0.000000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,3.552713678801e-14
exchange_loss,2,1.10,44.150000000,11.850000000,-0.150000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,4.263256414561e-14
exchange_loss,2,1.20,44.300000000,11.700000000,-0.300000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,4.263256414561e-14
exchange_loss,3,0.80,39.279997190,16.720002810,0.066666692,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.782751724022e-11
exchange_loss,3,0.90,39.313330536,16.686669464,0.033333346,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.785593894965e-11
exchange_loss,3,1.00,39.346663882,16.653336118,0.000000000,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.788436065908e-11
exchange_loss,3,1.10,39.346663882,16.653336118,0.000000000,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.788436065908e-11
exchange_loss,3,1.20,39.346663882,16.653336118,0.000000000,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.788436065908e-11
exchange_loss,4,0.80,41.250000000,14.750000000,0.000000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
exchange_loss,4,0.90,41.250000000,14.750000000,0.000000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
exchange_loss,4,1.00,41.250000000,14.750000000,0.000000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
exchange_loss,4,1.10,41.250000000,14.750000000,0.000000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
exchange_loss,4,1.20,41.250000000,14.750000000,0.000000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
exchange_loss,5,0.80,40.105555922,15.894444078,0.444444454,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,9.919176591211e-12
exchange_loss,5,0.90,40.327778149,15.672221851,0.222222227,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,9.926282018569e-12
exchange_loss,5,1.00,40.550000376,15.449999624,0.000000000,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,9.919176591211e-12
exchange_loss,5,1.10,40.672222599,15.327777401,-0.122222223,buy_p2_test>buy_p1_notest>assemble_test_disassemble>inspect_p1,1,526,27,9.926282018569e-12
exchange_loss,5,1.20,40.683333706,15.316666294,-0.133333329,buy_p2_test>buy_p1_notest>assemble_test_disassemble>inspect_p1,1,526,27,9.926282018569e-12
exchange_loss,6,0.80,33.988628080,22.011371920,0.332701560,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
exchange_loss,6,0.90,34.154978860,21.845021140,0.166350780,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594902070996e-11
exchange_loss,6,1.00,34.321329640,21.678670360,0.000000000,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
exchange_loss,6,1.10,34.487680420,21.512319580,-0.166350780,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
exchange_loss,6,1.20,34.654031200,21.345968800,-0.332701560,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.593480985524e-11
disassemble_cost,1,0.80,36.855556552,19.144443448,0.222222227,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.391242676618e-11
disassemble_cost,1,0.90,36.966667665,19.033332335,0.111111114,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.446665010008e-11
disassemble_cost,1,1.00,37.077778779,18.922221221,0.000000000,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.501376800661e-11
disassemble_cost,1,1.10,37.188889892,18.811110108,-0.111111114,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.556088591315e-11
disassemble_cost,1,1.20,37.300001006,18.699998994,-0.222222227,buy_p1_test>buy_p2_notest>assemble_notest_disassemble>inspect_p2,0,366,26,1.611510924704e-11
disassemble_cost,2,0.80,43.750000000,12.250000000,0.250000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,2.842170943040e-14
disassemble_cost,2,0.90,43.875000000,12.125000000,0.125000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,3.552713678801e-14
disassemble_cost,2,1.00,44.000000000,12.000000000,0.000000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,3.552713678801e-14
disassemble_cost,2,1.10,44.125000000,11.875000000,-0.125000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,23,4.263256414561e-14
disassemble_cost,2,1.20,44.250000000,11.750000000,-0.250000000,buy_p1_test>buy_p2_test>assemble_notest_disassemble>assemble_notest_disassemble,0,303,22,1.918465386552e-13
disassemble_cost,3,0.80,39.013330697,16.986669303,0.333333185,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,30,1.114131009672e-11
disassemble_cost,3,0.90,39.179997289,16.820002711,0.166666592,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.728039933369e-11
disassemble_cost,3,1.00,39.346663882,16.653336118,0.000000000,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.788436065908e-11
disassemble_cost,3,1.10,39.513330474,16.486669526,-0.166666592,buy_p1_notest>buy_p2_notest>assemble_test_disassemble>inspect_p1,0,366,29,1.849542741184e-11
disassemble_cost,3,1.20,39.633334324,16.366665676,-0.286670443,buy_p1_test>buy_p2_notest>assemble_test_disassemble>inspect_p2,1,366,26,1.613642552911e-11
disassemble_cost,4,0.80,41.000000000,15.000000000,0.250000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
disassemble_cost,4,0.90,41.125000000,14.875000000,0.125000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
disassemble_cost,4,1.00,41.250000000,14.750000000,0.000000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,3.552713678801e-14
disassemble_cost,4,1.10,41.375000000,14.625000000,-0.125000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,4.263256414561e-14
disassemble_cost,4,1.20,41.500000000,14.500000000,-0.250000000,buy_p1_test>buy_p2_test>assemble_test_disassemble>assemble_test_disassemble,0,303,23,4.263256414561e-14
disassemble_cost,5,0.80,40.327778149,15.672221851,0.222222227,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,9.805489753489e-12
disassemble_cost,5,0.90,40.438889263,15.561110737,0.111111114,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,26,3.205968823750e-11
disassemble_cost,5,1.00,40.550000376,15.449999624,0.000000000,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,9.919176591211e-12
disassemble_cost,5,1.10,40.661111490,15.338888510,-0.111111114,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,1.031708052324e-11
disassemble_cost,5,1.20,40.772222603,15.227777397,-0.222222227,buy_p2_test>buy_p1_notest>assemble_notest_disassemble>inspect_p1,0,526,27,1.070787902790e-11
disassemble_cost,6,0.80,34.321329640,21.678670360,0.000000000,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
disassemble_cost,6,0.90,34.321329640,21.678670360,0.000000000,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
disassemble_cost,6,1.00,34.321329640,21.678670360,0.000000000,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
disassemble_cost,6,1.10,34.321329640,21.678670360,0.000000000,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
disassemble_cost,6,1.20,34.321329640,21.678670360,0.000000000,buy_p1_notest>buy_p2_notest>assemble_notest_scrap>buy_p1_notest,0,369,29,2.594191528260e-11
