strategy,feasible_fixed,fixed_expected_profit,feasible_bayes,bayes_expected_profit,bayes_profit_sd,bayes_profit_q05
0001000100000110,1,-106.554339,1,-193.53888,,
0001000100000111,0,-inf,0,-inf,,
0001001100000100,1,-128.821198,1,-222.1215,,
0001001100000101,0,-inf,0,-inf,,
0001001100000110,1,-81.061255,1,-152.70752,,
0001001100000111,0,-inf,0,-inf,,
0001000000100100,0,-inf,0,-inf,,
0001000000100101,0,-inf,0,-inf,,
0001000000100110,0,-inf,0,-inf,,
0001000000100111,0,-inf,0,-inf,,
0001001000100100,0,-inf,0,-inf,,
0001001000100101,0,-inf,0,-inf,,
0001001000100110,0,-inf,0,-inf,,
0001001000100111,0,-inf,0,-inf,,
0001000100100100,0,-inf,0,-inf,,
0001000100100101,0,-inf,0,-inf,,
0001000100100110,0,-inf,0,-inf,,
0001000100100111,0,-inf,0,-inf,,
0001001100100100,1,-105.877422,1,-184.38118,,
0001001100100101,0,-inf,0,-inf,,
0001001100100110,1,-66.893473,1,-128.245197,,
0001001100100111,0,-inf,0,-inf,,
0000100000000000,1,-199.755705,1,-337.604424,,
0000100000000001,0,-inf,0,-inf,,
0000100000000010,1,-131.410097,1,-235.541245,,
0000100000000011,0,-inf,0,-inf,,
0000101000000000,1,-161.516079,1,-275.325067,,
0000101000000001,0,-inf,0,-inf,,
0000101000000010,1,-104.005031,1,-190.6111,,
0000101000000011,0,-inf,0,-inf,,
0000100100000000,1,-165.977368,1,-281.984562,,
0000100100000001,0,-inf,0,-inf,,
0000100100000010,1,-108.466321,1,-197.152952,,
0000100100000011,0,-inf,0,-inf,,
0000101100000000,1,-130.541981,1,-225.467639,,
0000101100000001,0,-inf,0,-inf,,
0000101100000010,1,-82.782038,1,-155.889,,
0000101100000011,0,-inf,0,-inf,,
0000100000100000,1,-117.508642,1,-205.869224,,
0000100000100001,0,-inf,0,-inf,,
0000100000100010,1,-78.524693,1,-149.59156,,
0000100000100011,0,-inf,0,-inf,,
0000101000100000,1,-113.047352,1,-197.80105,,
0000101000100001,0,-inf,0,-inf,,
0000101000100010,1,-74.063403,1,-141.523386,,
0000101000100011,0,-inf,0,-inf,,
0000100100100000,1,-117.508642,1,-204.089665,,
0000100100100001,0,-inf,0,-inf,,
0000100100100010,1,-78.524693,1,-147.812001,,
0000100100100011,0,-inf,0,-inf,,
0000101100100000,1,-112.473758,1,-195.233988,,
0000101100100001,0,-inf,0,-inf,,
0000101100100010,1,-73.489809,1,-138.956324,,
0000101100100011,0,-inf,0,-inf,,
0000100000000100,1,-199.755705,1,-337.604424,,
0000100000000101,0,-inf,0,-inf,,
0000100000000110,1,-131.410097,1,-235.541245,,
0000100000000111,0,-inf,0,-inf,,
0000101000000100,1,-161.516079,1,-275.325067,,
0000101000000101,0,-inf,0,-inf,,
0000101000000110,1,-104.005031,1,-190.6111,,
0000101000000111,0,-inf,0,-inf,,
0000100100000100,1,-165.977368,1,-281.984562,,
0000100100000101,0,-inf,0,-inf,,
0000100100000110,1,-108.466321,1,-197.152952,,
0000100100000111,0,-inf,0,-inf,,
0000101100000100,1,-130.541981,1,-225.467639,,
0000101100000101,0,-inf,0,-inf,,
0000101100000110,1,-82.782038,1,-155.889,,
0000101100000111,0,-inf,0,-inf,,
0000100000100100,0,-inf,0,-inf,,
0000100000100101,0,-inf,0,-inf,,
0000100000100110,0,-inf,0,-inf,,
0000100000100111,0,-inf,0,-inf,,
0000101000100100,0,-inf,0,-inf,,
0000101000100101,0,-inf,0,-inf,,
0000101000100110,0,-inf,0,-inf,,
0000101000100111,0,-inf,0,-inf,,
0000100100100100,0,-inf,0,-inf,,
0000100100100101,0,-inf,0,-inf,,
0000100100100110,0,-inf,0,-inf,,
0000100100100111,0,-inf,0,-inf,,
0000101100100100,1,-107.426127,1,-187.337954,,
0000101100100101,0,-inf,0,-inf,,
0000101100100110,1,-68.442178,1,-131.060291,,
0000101100100111,0,-inf,0,-inf,,
0001100000000000,1,-159.604097,1,-272.12126,,
0001100000000001,0,-inf,0,-inf,,
0001100000000010,1,-102.09305,1,-187.443209,,
0001100000000011,0,-inf,0,-inf,,
0001101000000000,1,-124.806037,1,-216.837326,,
0001101000000001,0,-inf,0,-inf,,
0001101000000010,1,-77.046094,1,-147.382966,,
0001101000000011,0,-inf,0,-inf,,
0001100100000000,1,-128.821198,1,-222.69744,,
0001100100000001,0,-inf,0,-inf,,
0001100100000010,1,-81.061255,1,-153.136605,,
0001100100000011,0,-inf,0,-inf,,
0001101100000000,1,-96.585193,1,-172.544917,,
0001101100000001,0,-inf,0,-inf,,
0001101100000010,1,-57.601244,1,-116.368909,,
0001101100000011,0,-inf,0,-inf,,
0001100000100000,1,-84.545446,1,-154.852416,,
0001100000100001,0,-inf,0,-inf,,
0001100000100010,1,-53.459893,1,-110.350093,,
0001100000100011,0,-inf,0,-inf,,
0001101000100000,1,-80.530286,1,-147.773283,,
0001101000100001,0,-inf,0,-inf,,
0001101000100010,1,-49.444732,1,-103.27096,,
0001101000100011,0,-inf,0,-inf,,
0001100100100000,1,-84.545446,1,-153.293939,,
0001100100100001,0,-inf,0,-inf,,
0001100100100010,1,-53.459893,1,-108.791616,,
0001100100100011,0,-inf,0,-inf,,
0001101100100000,1,-80.014051,1,-145.523681,,
0001101100100001,0,-inf,0,-inf,,
0001101100100010,1,-48.928497,1,-101.021358,,
0001101100100011,0,-inf,0,-inf,,
0001100000000100,1,-159.604097,1,-272.12126,,
0001100000000101,0,-inf,0,-inf,,
0001100000000110,1,-102.09305,1,-187.443209,,
0001100000000111,0,-inf,0,-inf,,
0001101000000100,1,-124.806037,1,-216.837326,,
0001101000000101,0,-inf,0,-inf,,
0001101000000110,1,-77.046094,1,-147.382966,,
0001101000000111,0,-inf,0,-inf,,
0001100100000100,1,-128.821198,1,-222.69744,,
0001100100000101,0,-inf,0,-inf,,
0001100100000110,1,-81.061255,1,-153.136605,,
0001100100000111,0,-inf,0,-inf,,
0001101100000100,1,-96.585193,1,-172.544917,,
0001101100000101,0,-inf,0,-inf,,
0001101100000110,1,-57.601244,1,-116.368909,,
0001101100000111,0,-inf,0,-inf,,
0001100000100100,0,-inf,0,-inf,,
0001100000100101,0,-inf,0,-inf,,
0001100000100110,0,-inf,0,-inf,,
0001100000100111,0,-inf,0,-inf,,
0001101000100100,0,-inf,0,-inf,,
0001101000100101,0,-inf,0,-inf,,
0001101000100110,0,-inf,0,-inf,,
0001101000100111,0,-inf,0,-inf,,
0001100100100100,0,-inf,0,-inf,,
0001100100100101,0,-inf,0,-inf,,
0001100100100110,0,-inf,0,-inf,,
0001100100100111,0,-inf,0,-inf,,
0001101100100100,1,-75.471183,1,-138.594106,,
0001101100100101,0,-inf,0,-inf,,
0001101100100110,1,-44.385629,1,-94.091783,,
0001101100100111,0,-inf,0,-inf,,
0000010000000000,1,-204.712694,1,-344.248061,,
0000010000000001,0,-inf,0,-inf,,
0000010000000010,1,-136.367085,1,-242.296971,,
0000010000000011,0,-inf,0,-inf,,
0000011000000000,1,-165.977368,1,-281.128701,,
0000011000000001,0,-inf,0,-inf,,
0000011000000010,1,-108.466321,1,-196.519471,,
0000011000000011,0,-inf,0,-inf,,
0000010100000000,1,-170.438658,1,-287.847214,,
0000010100000001,0,-inf,0,-inf,,
0000010100000010,1,-112.927611,1,-203.103488,,
0000010100000011,0,-inf,0,-inf,,
0000011100000000,1,-134.557142,1,-230.589025,,
0000011100000001,0,-inf,0,-inf,,
0000011100000010,1,-86.797199,1,-161.093017,,
0000011100000011,0,-inf,0,-inf,,
0000010000100000,1,-121.122287,1,-210.341848,,
0000010000100001,0,-inf,0,-inf,,
0000010000100010,1,-82.138338,1,-154.135859,,
0000010000100011,0,-inf,0,-inf,,
0000011000100000,1,-116.660997,1,-202.275567,,
0000011000100001,0,-inf,0,-inf,,
0000011000100010,1,-77.677048,1,-146.069579,,
0000011000100011,0,-inf,0,-inf,,
0000010100100000,1,-121.122287,1,-208.569933,,
0000010100100001,0,-inf,0,-inf,,
0000010100100010,1,-82.138338,1,-152.363945,,
0000010100100011,0,-inf,0,-inf,,
0000011100100000,1,-116.087402,1,-199.716553,,
0000011100100001,0,-inf,0,-inf,,
0000011100100010,1,-77.103454,1,-143.510565,,
0000011100100011,0,-inf,0,-inf,,
0000010000000100,1,-204.712694,1,-344.248061,,
0000010000000101,0,-inf,0,-inf,,
0000010000000110,1,-136.367085,1,-242.296971,,
0000010000000111,0,-inf,0,-inf,,
0000011000000100,1,-165.977368,1,-281.128701,,
0000011000000101,0,-inf,0,-inf,,
0000011000000110,1,-108.466321,1,-196.519471,,
0000011000000111,0,-inf,0,-inf,,
0000010100000100,1,-170.438658,1,-287.847214,,
0000010100000101,0,-inf,0,-inf,,
0000010100000110,1,-112.927611,1,-203.103488,,
0000010100000111,0,-inf,0,-inf,,
0000011100000100,1,-134.557142,1,-230.589025,,
0000011100000101,0,-inf,0,-inf,,
0000011100000110,1,-86.797199,1,-161.093017,,
0000011100000111,0,-inf,0,-inf,,
0000010000100100,0,-inf,0,-inf,,
0000010000100101,0,-inf,0,-inf,,
0000010000100110,0,-inf,0,-inf,,
0000010000100111,0,-inf,0,-inf,,
0000011000100100,0,-inf,0,-inf,,
0000011000100101,0,-inf,0,-inf,,
0000011000100110,0,-inf,0,-inf,,
0000011000100111,0,-inf,0,-inf,,
0000010100100100,0,-inf,0,-inf,,
0000010100100101,0,-inf,0,-inf,,
0000010100100110,0,-inf,0,-inf,,
0000010100100111,0,-inf,0,-inf,,
0000011100100100,1,-111.039772,1,-191.827476,,
0000011100100101,0,-inf,0,-inf,,
0000011100100110,1,-72.055823,1,-135.621488,,
0000011100100111,0,-inf,0,-inf,,
0001010000000000,1,-164.065387,1,-277.96549,,
0001010000000001,0,-inf,0,-inf,,
0001010000000010,1,-106.554339,1,-193.380994,,
0001010000000011,0,-inf,0,-inf,,
0001011000000000,1,-128.821198,1,-221.944418,,
0001011000000001,0,-inf,0,-inf,,
0001011000000010,1,-81.061255,1,-152.577307,,
0001011000000011,0,-inf,0,-inf,,
0001010100000000,1,-132.836359,1,-227.854651,,
0001010100000001,0,-inf,0,-inf,,
0001010100000010,1,-85.076416,1,-158.367042,,
0001010100000011,0,-inf,0,-inf,,
0001011100000000,1,-100.198838,1,-177.05164,,
0001011100000001,0,-inf,0,-inf,,
0001011100000010,1,-61.214889,1,-120.944346,,
0001011100000011,0,-inf,0,-inf,,
0001010000100000,1,-87.797727,1,-158.790143,,
0001010000100001,0,-inf,0,-inf,,
0001010000100010,1,-56.712173,1,-114.347172,,
0001010000100011,0,-inf,0,-inf,,
0001011000100000,1,-83.782566,1,-151.71271,,
0001011000100001,0,-inf,0,-inf,,
0001011000100010,1,-52.697012,1,-107.269739,,
0001011000100011,0,-inf,0,-inf,,
0001010100100000,1,-87.797727,1,-157.238121,,
0001010100100001,0,-inf,0,-inf,,
0001010100100010,1,-56.712173,1,-112.79515,,
0001010100100011,0,-inf,0,-inf,,
0001011100100000,1,-83.266331,1,-149.469899,,
0001011100100001,0,-inf,0,-inf,,
0001011100100010,1,-52.180777,1,-105.026928,,
0001011100100011,0,-inf,0,-inf,,
0001010000000100,1,-164.065387,1,-277.96549,,
0001010000000101,0,-inf,0,-inf,,
0001010000000110,1,-106.554339,1,-193.380994,,
0001010000000111,0,-inf,0,-inf,,
0001011000000100,1,-128.821198,1,-221.944418,,
0001011000000101,0,-inf,0,-inf,,
0001011000000110,1,-81.061255,1,-152.577307,,
0001011000000111,0,-inf,0,-inf,,
0001010100000100,1,-132.836359,1,-227.854651,,
0001010100000101,0,-inf,0,-inf,,
0001010100000110,1,-85.076416,1,-158.367042,,
0001010100000111,0,-inf,0,-inf,,
0001011100000100,1,-100.198838,1,-177.05164,,
0001011100000101,0,-inf,0,-inf,,
0001011100000110,1,-61.214889,1,-120.944346,,
0001011100000111,0,-inf,0,-inf,,
0001010000100100,0,-inf,0,-inf,,
0001010000100101,0,-inf,0,-inf,,
0001010000100110,0,-inf,0,-inf,,
0001010000100111,0,-inf,0,-inf,,
0001011000100100,0,-inf,0,-inf,,
0001011000100101,0,-inf,0,-inf,,
0001011000100110,0,-inf,0,-inf,,
0001011000100111,0,-inf,0,-inf,,
0001010100100100,0,-inf,0,-inf,,
0001010100100101,0,-inf,0,-inf,,
0001010100100110,0,-inf,0,-inf,,
0001010100100111,0,-inf,0,-inf,,
0001011100100100,1,-78.723463,1,-142.546264,,
0001011100100101,0,-inf,0,-inf,,
0001011100100110,1,-47.63791,1,-98.103293,,
0001011100100111,0,-inf,0,-inf,,
0000110000000000,1,-165.977368,1,-281.804494,,
0000110000000001,0,-inf,0,-inf,,
0000110000000010,1,-108.466321,1,-197.0208,,
0000110000000011,0,-inf,0,-inf,,
0000111000000000,1,-130.541981,1,-225.325513,,
0000111000000001,0,-inf,0,-inf,,
0000111000000010,1,-82.782038,1,-155.783516,,
0000111000000011,0,-inf,0,-inf,,
0000110100000000,1,-134.557142,1,-231.205635,,
0000110100000001,0,-inf,0,-inf,,
0000110100000010,1,-86.797199,1,-161.554829,,
0000110100000011,0,-inf,0,-inf,,
0000111100000000,1,-101.747542,1,-180.000782,,
0000111100000001,0,-inf,0,-inf,,
0000111100000010,1,-62.763594,1,-123.750612,,
0000111100000011,0,-inf,0,-inf,,
0000110000100000,1,-89.191561,1,-161.429903,,
0000110000100001,0,-inf,0,-inf,,
0000110000100010,1,-58.106007,1,-116.864024,,
0000110000100011,0,-inf,0,-inf,,
0000111000100000,1,-85.1764,1,-154.341166,,
0000111000100001,0,-inf,0,-inf,,
0000111000100010,1,-54.090846,1,-109.775287,,
0000111000100011,0,-inf,0,-inf,,
0000110100100000,1,-89.191561,1,-159.868421,,
0000110100100001,0,-inf,0,-inf,,
0000110100100010,1,-58.106007,1,-115.302542,,
0000110100100011,0,-inf,0,-inf,,
0000111100100000,1,-84.660165,1,-152.087815,,
0000111100100001,0,-inf,0,-inf,,
0000111100100010,1,-53.574612,1,-107.521937,,
0000111100100011,0,-inf,0,-inf,,
0000110000000100,1,-165.977368,1,-281.804494,,
0000110000000101,0,-inf,0,-inf,,
0000110000000110,1,-108.466321,1,-197.0208,,
0000110000000111,0,-inf,0,-inf,,
0000111000000100,1,-130.541981,1,-225.325513,,
0000111000000101,0,-inf,0,-inf,,
0000111000000110,1,-82.782038,1,-155.783516,,
0000111000000111,0,-inf,0,-inf,,
0000110100000100,1,-134.557142,1,-231.205635,,
0000110100000101,0,-inf,0,-inf,,
0000110100000110,1,-86.797199,1,-161.554829,,
0000110100000111,0,-inf,0,-inf,,
0000111100000100,1,-101.747542,1,-180.000782,,
0000111100000101,0,-inf,0,-inf,,
0000111100000110,1,-62.763594,1,-123.750612,,
0000111100000111,0,-inf,0,-inf,,
0000110000100100,0,-inf,0,-inf,,
0000110000100101,0,-inf,0,-inf,,
0000110000100110,0,-inf,0,-inf,,
0000110000100111,0,-inf,0,-inf,,
0000111000100100,0,-inf,0,-inf,,
0000111000100101,0,-inf,0,-inf,,
0000111000100110,0,-inf,0,-inf,,
0000111000100111,0,-inf,0,-inf,,
0000110100100100,0,-inf,0,-inf,,
0000110100100101,0,-inf,0,-inf,,
0000110100100110,0,-inf,0,-inf,,
0000110100100111,0,-inf,0,-inf,,
0000111100100100,1,-80.117298,1,-145.15159,,
0000111100100101,0,-inf,0,-inf,,
0000111100100110,1,-49.031744,1,-100.585711,,
0000111100100111,0,-inf,0,-inf,,
0001110000000000,1,-128.821198,1,-222.524706,,
0001110000000001,0,-inf,0,-inf,,
0001110000000010,1,-81.061255,1,-153.009481,,
0001110000000011,0,-inf,0,-inf,,
0001111000000000,1,-96.585193,1,-172.406688,,
0001111000000001,0,-inf,0,-inf,,
0001111000000010,1,-57.601244,1,-116.266129,,
0001111000000011,0,-inf,0,-inf,,
0001110100000000,1,-100.198838,1,-177.581556,,
0001110100000001,0,-inf,0,-inf,,
0001110100000010,1,-61.214889,1,-121.342662,,
0001110100000011,0,-inf,0,-inf,,
0001111100000000,1,-70.360457,1,-132.157328,,
0001111100000001,0,-inf,0,-inf,,
0001111100000010,1,-39.274903,1,-87.678062,,
0001111100000011,0,-inf,0,-inf,,
0001110000100000,1,-58.781307,1,-115.425984,,
0001110000100001,0,-inf,0,-inf,,
0001110000100010,1,-34.804308,1,-81.201806,,
0001110000100011,0,-inf,0,-inf,,
0001111000100000,1,-55.167662,1,-109.206079,,
0001111000100001,0,-inf,0,-inf,,
0001111000100010,1,-31.190664,1,-74.981901,,
0001111000100011,0,-inf,0,-inf,,
0001110100100000,1,-58.781307,1,-114.058449,,
0001110100100001,0,-inf,0,-inf,,
0001110100100010,1,-34.804308,1,-79.834271,,
0001110100100011,0,-inf,0,-inf,,
0001111100100000,1,-54.703051,1,-107.231332,,
0001111100100001,0,-inf,0,-inf,,
0001111100100010,1,-30.726052,1,-73.007154,,
0001111100100011,0,-inf,0,-inf,,
0001110000000100,1,-128.821198,1,-222.524706,,
0001110000000101,0,-inf,0,-inf,,
0001110000000110,1,-81.061255,1,-153.009481,,
0001110000000111,0,-inf,0,-inf,,
0001111000000100,1,-96.585193,1,-172.406688,,
0001111000000101,0,-inf,0,-inf,,
0001111000000110,1,-57.601244,1,-116.266129,,
0001111000000111,0,-inf,0,-inf,,
0001110100000100,1,-100.198838,1,-177.581556,,
0001110100000101,0,-inf,0,-inf,,
0001110100000110,1,-61.214889,1,-121.342662,,
0001110100000111,0,-inf,0,-inf,,
0001111100000100,1,-70.360457,1,-132.157328,,
0001111100000101,0,-inf,0,-inf,,
0001111100000110,1,-39.274903,1,-87.678062,,
0001111100000111,0,-inf,0,-inf,,
0001110000100100,0,-inf,0,-inf,,
0001110000100101,0,-inf,0,-inf,,
0001110000100110,0,-inf,0,-inf,,
0001110000100111,0,-inf,0,-inf,,
0001111000100100,0,-inf,0,-inf,,
0001111000100101,0,-inf,0,-inf,,
0001111000100110,0,-inf,0,-inf,,
0001111000100111,0,-inf,0,-inf,,
0001110100100100,0,-inf,0,-inf,,
0001110100100101,0,-inf,0,-inf,,
0001110100100110,0,-inf,0,-inf,,
0001110100100111,0,-inf,0,-inf,,
0001111100100100,1,-50.61447,1,-101.143904,,
0001111100100101,0,-inf,0,-inf,,
0001111100100110,1,-26.637471,1,-66.919726,,
0001111100100111,0,-inf,0,-inf,,
0000000001000000,1,-126.628085,1,-221.424436,,
0000000001000001,0,-inf,0,-inf,,
0000000001000010,1,-87.644136,1,-165.2566,,
0000000001000011,0,-inf,0,-inf,,
0000001001000000,1,-94.146779,1,-170.650555,,
0000001001000001,0,-inf,0,-inf,,
0000001001000010,1,-63.061226,1,-126.231039,,
0000001001000011,0,-inf,0,-inf,,
0000000101000000,1,-97.39906,1,-175.262777,,
0000000101000001,0,-inf,0,-inf,,
0000000101000010,1,-66.313506,1,-130.750896,,
0000000101000011,0,-inf,0,-inf,,
0000001101000000,1,-67.422506,1,-129.426691,,
0000001101000001,0,-inf,0,-inf,,
0000001101000010,1,-43.445508,1,-95.244857,,
0000001101000011,0,-inf,0,-inf,,
0000000001100000,1,-54.191462,1,-109.56637,,
0000000001100001,0,-inf,0,-inf,,
0000000001100010,1,-36.612163,1,-84.388387,,
0000000001100011,0,-inf,0,-inf,,
0000001001100000,1,-50.939182,1,-104.101904,,
0000001001100001,0,-inf,0,-inf,,
0000001001100010,1,-33.359883,1,-78.923921,,
0000001001100011,0,-inf,0,-inf,,
0000000101100000,1,-54.191462,1,-108.366858,,
0000000101100001,0,-inf,0,-inf,,
0000000101100010,1,-36.612163,1,-83.188875,,
0000000101100011,0,-inf,0,-inf,,
0000001101100000,1,-50.521031,1,-102.369059,,
0000001101100001,0,-inf,0,-inf,,
0000001101100010,1,-32.941733,1,-77.191076,,
0000001101100011,0,-inf,0,-inf,,
0000000001000100,1,-126.628085,1,-221.424436,,
0000000001000101,0,-inf,0,-inf,,
0000000001000110,1,-87.644136,1,-165.2566,,
0000000001000111,0,-inf,0,-inf,,
0000001001000100,1,-94.146779,1,-170.650555,,
0000001001000101,0,-inf,0,-inf,,
0000001001000110,1,-63.061226,1,-126.231039,,
0000001001000111,0,-inf,0,-inf,,
0000000101000100,1,-97.39906,1,-175.262777,,
0000000101000101,0,-inf,0,-inf,,
0000000101000110,1,-66.313506,1,-130.750896,,
0000000101000111,0,-inf,0,-inf,,
0000001101000100,1,-67.422506,1,-129.426691,,
0000001101000101,0,-inf,0,-inf,,
0000001101000110,1,-43.445508,1,-95.244857,,
0000001101000111,0,-inf,0,-inf,,
0000000001100100,0,-inf,0,-inf,,
0000000001100101,0,-inf,0,-inf,,
0000000001100110,0,-inf,0,-inf,,
0000000001100111,0,-inf,0,-inf,,
0000001001100100,0,-inf,0,-inf,,
0000001001100101,0,-inf,0,-inf,,
0000001001100110,0,-inf,0,-inf,,
0000001001100111,0,-inf,0,-inf,,
0000000101100100,0,-inf,0,-inf,,
0000000101100101,0,-inf,0,-inf,,
0000000101100110,0,-inf,0,-inf,,
0000000101100111,0,-inf,0,-inf,,
0000001101100100,1,-46.841308,1,-97.024318,,
0000001101100101,0,-inf,0,-inf,,
0000001101100110,1,-29.26201,1,-71.846335,,
0000001101100111,0,-inf,0,-inf,,
0001000001000000,1,-118.838531,1,-207.566893,,
0001000001000001,0,-inf,0,-inf,,
0001000001000010,1,-79.854582,1,-151.399057,,
0001000001000011,0,-inf,0,-inf,,
0001001001000000,1,-87.136181,1,-158.488748,,
0001001001000001,0,-inf,0,-inf,,
0001001001000010,1,-56.050627,1,-114.069232,,
0001001001000011,0,-inf,0,-inf,,
0001000101000000,1,-90.388461,1,-163.091039,,
0001000101000001,0,-inf,0,-inf,,
0001000101000010,1,-59.302908,1,-118.579158,,
0001000101000011,0,-inf,0,-inf,,
0001001101000000,1,-61.112968,1,-118.745317,,
0001001101000001,0,-inf,0,-inf,,
0001001101000010,1,-37.13597,1,-84.563484,,
0001001101000011,0,-inf,0,-inf,,
0001000001100000,1,-48.512877,1,-100.182159,,
0001000001100001,0,-inf,0,-inf,,
0001000001100010,1,-30.933579,1,-75.004176,,
0001000001100011,0,-inf,0,-inf,,
0001001001100000,1,-45.260597,1,-94.717693,,
0001001001100001,0,-inf,0,-inf,,
0001001001100010,1,-27.681298,1,-69.53971,,
0001001001100011,0,-inf,0,-inf,,
0001000101100000,1,-48.512877,1,-98.982646,,
0001000101100001,0,-inf,0,-inf,,
0001000101100010,1,-30.933579,1,-73.804663,,
0001000101100011,0,-inf,0,-inf,,
0001001101100000,1,-44.842447,1,-92.984847,,
0001001101100001,0,-inf,0,-inf,,
0001001101100010,1,-27.263148,1,-67.806864,,
0001001101100011,0,-inf,0,-inf,,
0001000001000100,1,-118.838531,1,-207.566893,,
0001000001000101,0,-inf,0,-inf,,
0001000001000110,1,-79.854582,1,-151.399057,,
0001000001000111,0,-inf,0,-inf,,
