case,n,strategy,feasible_fixed,fixed_expected_profit,feasible_bayes,bayes_expected_profit,bayes_profit_sd,bayes_profit_q05
3,40,1001,0,-inf,0,-inf,inf,-inf
3,40,1010,1,14.436214,1,12.09139,3.7176,5.279893
3,40,1011,0,-inf,0,-inf,inf,-inf
3,40,1100,1,12.666667,1,9.95369,4.80308,1.026889
3,40,1101,1,15.444444,1,13.536635,3.130829,7.817134
3,40,1110,1,12.666667,1,10.709304,3.164256,4.924762
3,40,1111,1,15.444444,1,14.292248,1.752251,11.152503
4,40,0000,1,-27.28125,1,-35.905658,17.70124,-67.878514
4,40,0001,0,-inf,0,-inf,inf,-inf
4,40,0010,1,-2.59375,1,-7.054651,9.155814,-23.592335
4,40,0011,0,-inf,0,-inf,inf,-inf
4,40,0100,1,-13.609375,1,-19.569279,12.916686,-43.215057
4,40,0101,0,-inf,0,-inf,inf,-inf
4,40,0110,1,0.140625,1,-3.625012,7.806036,-17.691059
4,40,0111,0,-inf,0,-inf,inf,-inf
4,40,1000,1,-8.140625,1,-13.091678,11.731312,-34.749297
4,40,1001,0,-inf,0,-inf,inf,-inf
4,40,1010,1,5.609375,1,2.840025,6.335342,-8.899083
4,40,1011,0,-inf,0,-inf,inf,-inf
4,40,1100,1,3.5,1,0.52511,7.557528,-13.453329
4,40,1101,1,9.75,1,7.748668,4.824278,-1.086833
4,40,1110,1,8.5,1,6.3827,4.911896,-2.704838
4,40,1111,1,14.75,1,13.606257,2.52903,9.096517
5,40,0000,1,7.358025,1,2.859054,7.444288,-10.773777
5,40,0001,0,-inf,0,-inf,inf,-inf
5,40,0010,1,9.703704,1,6.151885,5.877069,-4.610877
5,40,0011,0,-inf,0,-inf,inf,-inf
5,40,0100,1,11.987654,1,8.489823,5.449611,-1.464262
5,40,0101,0,-inf,0,-inf,inf,-inf
5,40,0110,1,11.864198,1,8.865704,4.71754,0.28185
5,40,0111,0,-inf,0,-inf,inf,-inf
5,40,1000,1,0.259259,1,-3.540278,7.192423,-16.854674
5,40,1001,0,-inf,0,-inf,inf,-inf
5,40,1010,1,1.37037,1,-1.869447,6.02098,-13.057868
5,40,1011,0,-inf,0,-inf,inf,-inf
5,40,1100,1,7.018519,1,4.49753,4.382476,-3.469749
5,40,1101,1,10.583333,1,9.076871,2.595229,4.380531
5,40,1110,1,5.907407,1,3.607742,3.953325,-3.559176
5,40,1111,1,9.472222,1,8.187083,2.352339,3.911333
6,40,0000,1,21.67867,1,18.266448,3.687535,11.539631
6,40,0001,0,-inf,0,-inf,inf,-inf
6,40,0010,1,19.843126,1,17.059471,3.008252,11.571805
6,40,0011,0,-inf,0,-inf,inf,-inf
6,40,0100,1,19.345969,1,16.310041,3.35427,10.267273
6,40,0101,0,-inf,0,-inf,inf,-inf
6,40,0110,1,17.102201,1,14.468853,2.876579,9.250357
6,40,0111,0,-inf,0,-inf,inf,-inf
6,40,1000,1,21.328765,1,18.923765,2.950213,13.459772
6,40,1001,0,-inf,0,-inf,inf,-inf
6,40,1010,1,19.084998,1,17.064222,2.448221,12.550595
6,40,1011,0,-inf,0,-inf,inf,-inf
6,40,1100,1,19.240997,1,17.320208,2.419415,12.78961
6,40,1101,1,18.631579,1,16.459568,2.855367,11.106018
6,40,1110,1,16.609418,1,14.873714,2.130558,10.890222
6,40,1111,1,16.0,1,14.013074,2.548876,9.255353
