strategy,feasible,expected_cost,expected_profit,num_states,infeasible_reason
0000000011100101,0,inf,-inf,0,Singular matrix
0000000011100110,0,inf,-inf,0,Singular matrix
0000000011100111,0,inf,-inf,0,Singular matrix
0000000011101000,0,inf,-inf,0,Singular matrix
0000000011101001,0,inf,-inf,0,Singular matrix
0000000011101010,0,inf,-inf,0,Singular matrix
0000000011101011,0,inf,-inf,0,Singular matrix
0000000011101100,0,inf,-inf,0,Singular matrix
0000000011101101,0,inf,-inf,0,Singular matrix
0000000011101110,0,inf,-inf,0,Singular matrix
0000000011101111,0,inf,-inf,0,Singular matrix
0000000011110000,0,inf,-inf,0,Singular matrix
0000000011110001,0,inf,-inf,0,Singular matrix
0000000011110010,0,inf,-inf,0,Singular matrix
0000000011110011,0,inf,-inf,0,Singular matrix
0000000011110100,0,inf,-inf,0,Singular matrix
0000000011110101,0,inf,-inf,0,Singular matrix
0000000011110110,0,inf,-inf,0,Singular matrix
0000000011110111,0,inf,-inf,0,Singular matrix
0000000011111000,0,inf,-inf,0,Singular matrix
0000000011111001,0,inf,-inf,0,Singular matrix
0000000011111010,0,inf,-inf,0,Singular matrix
0000000011111011,0,inf,-inf,0,Singular matrix
0000000011111100,0,inf,-inf,0,Singular matrix
0000000011111101,0,inf,-inf,0,Singular matrix
0000000011111110,0,inf,-inf,0,Singular matrix
0000000011111111,0,inf,-inf,0,Singular matrix
0000000100000000,1,404.712694,-204.712694,798,
0000000100000001,0,inf,-inf,0,Singular matrix
0000000100000010,1,336.367085,-136.367085,798,
0000000100000011,0,inf,-inf,0,Singular matrix
0000000100000100,1,404.712694,-204.712694,798,
0000000100000101,0,inf,-inf,0,Singular matrix
0000000100000110,1,336.367085,-136.367085,798,
0000000100000111,0,inf,-inf,0,Singular matrix
0000000100001000,1,404.712694,-204.712694,798,
0000000100001001,0,inf,-inf,0,Singular matrix
0000000100001010,1,336.367085,-136.367085,798,
0000000100001011,0,inf,-inf,0,Singular matrix
0000000100001100,1,404.712694,-204.712694,798,
0000000100001101,0,inf,-inf,0,Singular matrix
0000000100001110,1,336.367085,-136.367085,798,
0000000100001111,0,inf,-inf,0,Singular matrix
0000000100010000,1,404.712694,-204.712694,798,
0000000100010001,0,inf,-inf,0,Singular matrix
0000000100010010,1,336.367085,-136.367085,798,
0000000100010011,0,inf,-inf,0,Singular matrix
0000000100010100,1,404.712694,-204.712694,798,
0000000100010101,0,inf,-inf,0,Singular matrix
0000000100010110,1,336.367085,-136.367085,798,
0000000100010111,0,inf,-inf,0,Singular matrix
0000000100011000,1,404.712694,-204.712694,798,
0000000100011001,0,inf,-inf,0,Singular matrix
0000000100011010,1,336.367085,-136.367085,798,
0000000100011011,0,inf,-inf,0,Singular matrix
0000000100011100,1,404.712694,-204.712694,798,
0000000100011101,0,inf,-inf,0,Singular matrix
0000000100011110,1,336.367085,-136.367085,798,
0000000100011111,0,inf,-inf,0,Singular matrix
0000000100100000,1,352.069475,-152.069475,879,
0000000100100001,0,inf,-inf,0,Singular matrix
0000000100100010,1,304.309532,-104.309532,879,
0000000100100011,0,inf,-inf,0,Singular matrix
0000000100100100,0,inf,-inf,0,Singular matrix
0000000100100101,0,inf,-inf,0,Singular matrix
0000000100100110,0,inf,-inf,0,Singular matrix
0000000100100111,0,inf,-inf,0,Singular matrix
0000000100101000,1,352.069475,-152.069475,879,
0000000100101001,0,inf,-inf,0,Singular matrix
0000000100101010,1,304.309532,-104.309532,879,
0000000100101011,0,inf,-inf,0,Singular matrix
0000000100101100,0,inf,-inf,0,Singular matrix
0000000100101101,0,inf,-inf,0,Singular matrix
0000000100101110,0,inf,-inf,0,Singular matrix
0000000100101111,0,inf,-inf,0,Singular matrix
0000000100110000,1,352.069475,-152.069475,879,
0000000100110001,0,inf,-inf,0,Singular matrix
0000000100110010,1,304.309532,-104.309532,879,
0000000100110011,0,inf,-inf,0,Singular matrix
0000000100110100,0,inf,-inf,0,Singular matrix
0000000100110101,0,inf,-inf,0,Singular matrix
0000000100110110,0,inf,-inf,0,Singular matrix
0000000100110111,0,inf,-inf,0,Singular matrix
0000000100111000,1,352.069475,-152.069475,879,
0000000100111001,0,inf,-inf,0,Singular matrix
0000000100111010,1,304.309532,-104.309532,879,
0000000100111011,0,inf,-inf,0,Singular matrix
0000000100111100,0,inf,-inf,0,Singular matrix
0000000100111101,0,inf,-inf,0,Singular matrix
0000000100111110,0,inf,-inf,0,Singular matrix
0000000100111111,0,inf,-inf,0,Singular matrix
0000000101000000,1,297.39906,-97.39906,303,
0000000101000001,0,inf,-inf,0,Singular matrix
0000000101000010,1,266.313506,-66.313506,303,
0000000101000011,0,inf,-inf,0,Singular matrix
0000000101000100,1,297.39906,-97.39906,303,
0000000101000101,0,inf,-inf,0,Singular matrix
0000000101000110,1,266.313506,-66.313506,303,
0000000101000111,0,inf,-inf,0,Singular matrix
0000000101001000,0,inf,-inf,0,Singular matrix
0000000101001001,0,inf,-inf,0,Singular matrix
0000000101001010,0,inf,-inf,0,Singular matrix
0000000101001011,0,inf,-inf,0,Singular matrix
0000000101001100,0,inf,-inf,0,Singular matrix
0000000101001101,0,inf,-inf,0,Singular matrix
0000000101001110,0,inf,-inf,0,Singular matrix
0000000101001111,0,inf,-inf,0,Singular matrix
0000000101010000,1,297.39906,-97.39906,303,
0000000101010001,0,inf,-inf,0,Singular matrix
0000000101010010,1,266.313506,-66.313506,303,
0000000101010011,0,inf,-inf,0,Singular matrix
0000000101010100,1,297.39906,-97.39906,303,
0000000101010101,0,inf,-inf,0,Singular matrix
0000000101010110,1,266.313506,-66.313506,303,
0000000101010111,0,inf,-inf,0,Singular matrix
0000000101011000,0,inf,-inf,0,Singular matrix
0000000101011001,0,inf,-inf,0,Singular matrix
0000000101011010,0,inf,-inf,0,Singular matrix
0000000101011011,0,inf,-inf,0,Singular matrix
0000000101011100,0,inf,-inf,0,Singular matrix
0000000101011101,0,inf,-inf,0,Singular matrix
0000000101011110,0,inf,-inf,0,Singular matrix
0000000101011111,0,inf,-inf,0,Singular matrix
0000000101100000,1,254.191462,-54.191462,312,
0000000101100001,0,inf,-inf,0,Singular matrix
0000000101100010,1,236.612163,-36.612163,312,
0000000101100011,0,inf,-inf,0,Singular matrix
0000000101100100,0,inf,-inf,0,Singular matrix
0000000101100101,0,inf,-inf,0,Singular matrix
0000000101100110,0,inf,-inf,0,Singular matrix
0000000101100111,0,inf,-inf,0,Singular matrix
0000000101101000,0,inf,-inf,0,Singular matrix
0000000101101001,0,inf,-inf,0,Singular matrix
0000000101101010,0,inf,-inf,0,Singular matrix
0000000101101011,0,inf,-inf,0,Singular matrix
0000000101101100,0,inf,-inf,0,Singular matrix
0000000101101101,0,inf,-inf,0,Singular matrix
0000000101101110,0,inf,-inf,0,Singular matrix
0000000101101111,0,inf,-inf,0,Singular matrix
0000000101110000,1,254.191462,-54.191462,312,
0000000101110001,0,inf,-inf,0,Singular matrix
0000000101110010,1,236.612163,-36.612163,312,
0000000101110011,0,inf,-inf,0,Singular matrix
0000000101110100,0,inf,-inf,0,Singular matrix
0000000101110101,0,inf,-inf,0,Singular matrix
0000000101110110,0,inf,-inf,0,Singular matrix
0000000101110111,0,inf,-inf,0,Singular matrix
0000000101111000,0,inf,-inf,0,Singular matrix
0000000101111001,0,inf,-inf,0,Singular matrix
0000000101111010,0,inf,-inf,0,Singular matrix
0000000101111011,0,inf,-inf,0,Singular matrix
0000000101111100,0,inf,-inf,0,Singular matrix
0000000101111101,0,inf,-inf,0,Singular matrix
0000000101111110,0,inf,-inf,0,Singular matrix
0000000101111111,0,inf,-inf,0,Singular matrix
0000000110000000,1,297.39906,-97.39906,111,
0000000110000001,0,inf,-inf,0,Singular matrix
0000000110000010,1,266.313506,-66.313506,111,
0000000110000011,0,inf,-inf,0,Singular matrix
0000000110000100,1,297.39906,-97.39906,111,
0000000110000101,0,inf,-inf,0,Singular matrix
0000000110000110,1,266.313506,-66.313506,111,
0000000110000111,0,inf,-inf,0,Singular matrix
0000000110001000,1,297.39906,-97.39906,111,
0000000110001001,0,inf,-inf,0,Singular matrix
0000000110001010,1,266.313506,-66.313506,111,
0000000110001011,0,inf,-inf,0,Singular matrix
0000000110001100,1,297.39906,-97.39906,111,
0000000110001101,0,inf,-inf,0,Singular matrix
0000000110001110,1,266.313506,-66.313506,111,
0000000110001111,0,inf,-inf,0,Singular matrix
0000000110010000,0,inf,-inf,0,Singular matrix
0000000110010001,0,inf,-inf,0,Singular matrix
0000000110010010,0,inf,-inf,0,Singular matrix
0000000110010011,0,inf,-inf,0,Singular matrix
0000000110010100,0,inf,-inf,0,Singular matrix
0000000110010101,0,inf,-inf,0,Singular matrix
0000000110010110,0,inf,-inf,0,Singular matrix
0000000110010111,0,inf,-inf,0,Singular matrix
0000000110011000,0,inf,-inf,0,Singular matrix
0000000110011001,0,inf,-inf,0,Singular matrix
0000000110011010,0,inf,-inf,0,Singular matrix
0000000110011011,0,inf,-inf,0,Singular matrix
0000000110011100,0,inf,-inf,0,Singular matrix
0000000110011101,0,inf,-inf,0,Singular matrix
0000000110011110,0,inf,-inf,0,Singular matrix
0000000110011111,0,inf,-inf,0,Singular matrix
0000000110100000,1,254.191462,-54.191462,120,
0000000110100001,0,inf,-inf,0,Singular matrix
0000000110100010,1,236.612163,-36.612163,120,
0000000110100011,0,inf,-inf,0,Singular matrix
0000000110100100,0,inf,-inf,0,Singular matrix
0000000110100101,0,inf,-inf,0,Singular matrix
0000000110100110,0,inf,-inf,0,Singular matrix
0000000110100111,0,inf,-inf,0,Singular matrix
0000000110101000,1,254.191462,-54.191462,120,
0000000110101001,0,inf,-inf,0,Singular matrix
0000000110101010,1,236.612163,-36.612163,120,
0000000110101011,0,inf,-inf,0,Singular matrix
0000000110101100,0,inf,-inf,0,Singular matrix
0000000110101101,0,inf,-inf,0,Singular matrix
0000000110101110,0,inf,-inf,0,Singular matrix
0000000110101111,0,inf,-inf,0,Singular matrix
0000000110110000,0,inf,-inf,0,Singular matrix
0000000110110001,0,inf,-inf,0,Singular matrix
0000000110110010,0,inf,-inf,0,Singular matrix
0000000110110011,0,inf,-inf,0,Singular matrix
0000000110110100,0,inf,-inf,0,Singular matrix
0000000110110101,0,inf,-inf,0,Singular matrix
0000000110110110,0,inf,-inf,0,Singular matrix
0000000110110111,0,inf,-inf,0,Singular matrix
0000000110111000,0,inf,-inf,0,Singular matrix
0000000110111001,0,inf,-inf,0,Singular matrix
0000000110111010,0,inf,-inf,0,Singular matrix
0000000110111011,0,inf,-inf,0,Singular matrix
0000000110111100,0,inf,-inf,0,Singular matrix
0000000110111101,0,inf,-inf,0,Singular matrix
0000000110111110,0,inf,-inf,0,Singular matrix
0000000110111111,0,inf,-inf,0,Singular matrix
0000000111000000,1,211.300813,-11.300813,56,
0000000111000001,0,inf,-inf,0,Singular matrix
0000000111000010,1,204.661582,-4.661582,56,
0000000111000011,0,inf,-inf,0,Singular matrix
0000000111000100,1,211.300813,-11.300813,56,
0000000111000101,0,inf,-inf,0,Singular matrix
0000000111000110,1,204.661582,-4.661582,56,
0000000111000111,0,inf,-inf,0,Singular matrix
0000000111001000,0,inf,-inf,0,Singular matrix
0000000111001001,0,inf,-inf,0,Singular matrix
0000000111001010,0,inf,-inf,0,Singular matrix
0000000111001011,0,inf,-inf,0,Singular matrix
0000000111001100,0,inf,-inf,0,Singular matrix
0000000111001101,0,inf,-inf,0,Singular matrix
0000000111001110,0,inf,-inf,0,Singular matrix
0000000111001111,0,inf,-inf,0,Singular matrix
0000000111010000,0,inf,-inf,0,Singular matrix
0000000111010001,0,inf,-inf,0,Singular matrix
0000000111010010,0,inf,-inf,0,Singular matrix
0000000111010011,0,inf,-inf,0,Singular matrix
0000000111010100,0,inf,-inf,0,Singular matrix
0000000111010101,0,inf,-inf,0,Singular matrix
0000000111010110,0,inf,-inf,0,Singular matrix
0000000111010111,0,inf,-inf,0,Singular matrix
0000000111011000,0,inf,-inf,0,Singular matrix
0000000111011001,0,inf,-inf,0,Singular matrix
0000000111011010,0,inf,-inf,0,Singular matrix
0000000111011011,0,inf,-inf,0,Singular matrix
0000000111011100,0,inf,-inf,0,Singular matrix
0000000111011101,0,inf,-inf,0,Singular matrix
0000000111011110,0,inf,-inf,0,Singular matrix
0000000111011111,0,inf,-inf,0,Singular matrix
0000000111100000,1,177.264983,22.735017,57,
0000000111100001,1,161.982929,38.017071,57,
0000000111100010,1,179.487206,20.512794,57,
0000000111100011,1,164.205152,35.794848,57,
0000000111100100,0,inf,-inf,0,Singular matrix
0000000111100101,0,inf,-inf,0,Singular matrix
0000000111100110,0,inf,-inf,0,Singular matrix
0000000111100111,0,inf,-inf,0,Singular matrix
0000000111101000,0,inf,-inf,0,Singular matrix
0000000111101001,0,inf,-inf,0,Singular matrix
0000000111101010,0,inf,-inf,0,Singular matrix
0000000111101011,0,inf,-inf,0,Singular matrix
0000000111101100,0,inf,-inf,0,Singular matrix
0000000111101101,0,inf,-inf,0,Singular matrix
0000000111101110,0,inf,-inf,0,Singular matrix
0000000111101111,0,inf,-inf,0,Singular matrix
0000000111110000,0,inf,-inf,0,Singular matrix
0000000111110001,0,inf,-inf,0,Singular matrix
0000000111110010,0,inf,-inf,0,Singular matrix
0000000111110011,0,inf,-inf,0,Singular matrix
0000000111110100,0,inf,-inf,0,Singular matrix
0000000111110101,0,inf,-inf,0,Singular matrix
0000000111110110,0,inf,-inf,0,Singular matrix
0000000111110111,0,inf,-inf,0,Singular matrix
0000000111111000,0,inf,-inf,0,Singular matrix
0000000111111001,0,inf,-inf,0,Singular matrix
0000000111111010,0,inf,-inf,0,Singular matrix
0000000111111011,0,inf,-inf,0,Singular matrix
0000000111111100,0,inf,-inf,0,Singular matrix
0000000111111101,0,inf,-inf,0,Singular matrix
0000000111111110,0,inf,-inf,0,Singular matrix
0000000111111111,0,inf,-inf,0,Singular matrix
0000001000000000,1,399.755705,-199.755705,717,
0000001000000001,0,inf,-inf,0,Singular matrix
0000001000000010,1,331.410097,-131.410097,717,
0000001000000011,0,inf,-inf,0,Singular matrix
0000001000000100,1,399.755705,-199.755705,717,
0000001000000101,0,inf,-inf,0,Singular matrix
0000001000000110,1,331.410097,-131.410097,717,
0000001000000111,0,inf,-inf,0,Singular matrix
0000001000001000,1,399.755705,-199.755705,717,
0000001000001001,0,inf,-inf,0,Singular matrix
0000001000001010,1,331.410097,-131.410097,717,
0000001000001011,0,inf,-inf,0,Singular matrix
0000001000001100,1,399.755705,-199.755705,717,
0000001000001101,0,inf,-inf,0,Singular matrix
0000001000001110,1,331.410097,-131.410097,717,
0000001000001111,0,inf,-inf,0,Singular matrix
0000001000010000,1,399.755705,-199.755705,717,
0000001000010001,0,inf,-inf,0,Singular matrix
0000001000010010,1,331.410097,-131.410097,717,
0000001000010011,0,inf,-inf,0,Singular matrix
0000001000010100,1,399.755705,-199.755705,717,
0000001000010101,0,inf,-inf,0,Singular matrix
0000001000010110,1,331.410097,-131.410097,717,
0000001000010111,0,inf,-inf,0,Singular matrix
0000001000011000,1,399.755705,-199.755705,717,
0000001000011001,0,inf,-inf,0,Singular matrix
0000001000011010,1,331.410097,-131.410097,717,
0000001000011011,0,inf,-inf,0,Singular matrix
0000001000011100,1,399.755705,-199.755705,717,
0000001000011101,0,inf,-inf,0,Singular matrix
0000001000011110,1,331.410097,-131.410097,717,
0000001000011111,0,inf,-inf,0,Singular matrix
0000001000100000,1,347.112486,-147.112486,798,
0000001000100001,0,inf,-inf,0,Singular matrix
0000001000100010,1,299.352543,-99.352543,798,
0000001000100011,0,inf,-inf,0,Singular matrix
0000001000100100,0,inf,-inf,0,Singular matrix
0000001000100101,0,inf,-inf,0,Singular matrix
0000001000100110,0,inf,-inf,0,Singular matrix
0000001000100111,0,inf,-inf,0,Singular matrix
0000001000101000,1,347.112486,-147.112486,798,
0000001000101001,0,inf,-inf,0,Singular matrix
0000001000101010,1,299.352543,-99.352543,798,
0000001000101011,0,inf,-inf,0,Singular matrix
0000001000101100,0,inf,-inf,0,Singular matrix
0000001000101101,0,inf,-inf,0,Singular matrix
0000001000101110,0,inf,-inf,0,Singular matrix
0000001000101111,0,inf,-inf,0,Singular matrix
0000001000110000,1,347.112486,-147.112486,798,
0000001000110001,0,inf,-inf,0,Singular matrix
0000001000110010,1,299.352543,-99.352543,798,
0000001000110011,0,inf,-inf,0,Singular matrix
0000001000110100,0,inf,-inf,0,Singular matrix
0000001000110101,0,inf,-inf,0,Singular matrix
0000001000110110,0,inf,-inf,0,Singular matrix
