strategy,feasible,expected_profit,expected_cost
0000000100001110,1,-136.367085,336.367085
0000000100001111,0,,
0000000100010000,1,-204.712694,404.712694
0000000100010001,0,,
0000000100010010,1,-136.367085,336.367085
0000000100010011,0,,
0000000100010100,1,-204.712694,404.712694
0000000100010101,0,,
0000000100010110,1,-136.367085,336.367085
0000000100010111,0,,
0000000100011000,1,-204.712694,404.712694
0000000100011001,0,,
0000000100011010,1,-136.367085,336.367085
0000000100011011,0,,
0000000100011100,1,-204.712694,404.712694
0000000100011101,0,,
0000000100011110,1,-136.367085,336.367085
0000000100011111,0,,
0000000100100000,1,-152.069475,352.069475
0000000100100001,0,,
0000000100100010,1,-104.309532,304.309532
0000000100100011,0,,
0000000100100100,0,,
0000000100100101,0,,
0000000100100110,0,,
0000000100100111,0,,
0000000100101000,1,-152.069475,352.069475
0000000100101001,0,,
0000000100101010,1,-104.309532,304.309532
0000000100101011,0,,
0000000100101100,0,,
0000000100101101,0,,
0000000100101110,0,,
0000000100101111,0,,
0000000100110000,1,-152.069475,352.069475
0000000100110001,0,,
0000000100110010,1,-104.309532,304.309532
0000000100110011,0,,
0000000100110100,0,,
0000000100110101,0,,
0000000100110110,0,,
0000000100110111,0,,
0000000100111000,1,-152.069475,352.069475
0000000100111001,0,,
0000000100111010,1,-104.309532,304.309532
0000000100111011,0,,
0000000100111100,0,,
0000000100111101,0,,
0000000100111110,0,,
0000000100111111,0,,
0000000101000000,1,-97.39906,297.39906
0000000101000001,0,,
0000000101000010,1,-66.313506,266.313506
0000000101000011,0,,
0000000101000100,1,-97.39906,297.39906
0000000101000101,0,,
0000000101000110,1,-66.313506,266.313506
0000000101000111,0,,
0000000101001000,0,,
0000000101001001,0,,
0000000101001010,0,,
0000000101001011,0,,
0000000101001100,0,,
0000000101001101,0,,
0000000101001110,0,,
0000000101001111,0,,
0000000101010000,1,-97.39906,297.39906
0000000101010001,0,,
0000000101010010,1,-66.313506,266.313506
0000000101010011,0,,
0000000101010100,1,-97.39906,297.39906
0000000101010101,0,,
0000000101010110,1,-66.313506,266.313506
0000000101010111,0,,
0000000101011000,0,,
0000000101011001,0,,
0000000101011010,0,,
0000000101011011,0,,
0000000101011100,0,,
0000000101011101,0,,
0000000101011110,0,,
0000000101011111,0,,
0000000101100000,1,-54.191462,254.191462
0000000101100001,0,,
0000000101100010,1,-36.612163,236.612163
0000000101100011,0,,
0000000101100100,0,,
0000000101100101,0,,
0000000101100110,0,,
0000000101100111,0,,
0000000101101000,0,,
0000000101101001,0,,
0000000101101010,0,,
0000000101101011,0,,
0000000101101100,0,,
0000000101101101,0,,
0000000101101110,0,,
0000000101101111,0,,
0000000101110000,1,-54.191462,254.191462
0000000101110001,0,,
0000000101110010,1,-36.612163,236.612163
0000000101110011,0,,
0000000101110100,0,,
0000000101110101,0,,
0000000101110110,0,,
0000000101110111,0,,
0000000101111000,0,,
0000000101111001,0,,
0000000101111010,0,,
0000000101111011,0,,
0000000101111100,0,,
0000000101111101,0,,
0000000101111110,0,,
0000000101111111,0,,
0000000110000000,1,-97.39906,297.39906
0000000110000001,0,,
0000000110000010,1,-66.313506,266.313506
0000000110000011,0,,
0000000110000100,1,-97.39906,297.39906
0000000110000101,0,,
0000000110000110,1,-66.313506,266.313506
0000000110000111,0,,
0000000110001000,1,-97.39906,297.39906
0000000110001001,0,,
0000000110001010,1,-66.313506,266.313506
0000000110001011,0,,
0000000110001100,1,-97.39906,297.39906
0000000110001101,0,,
0000000110001110,1,-66.313506,266.313506
0000000110001111,0,,
0000000110010000,0,,
0000000110010001,0,,
0000000110010010,0,,
0000000110010011,0,,
0000000110010100,0,,
0000000110010101,0,,
0000000110010110,0,,
0000000110010111,0,,
0000000110011000,0,,
0000000110011001,0,,
0000000110011010,0,,
0000000110011011,0,,
0000000110011100,0,,
0000000110011101,0,,
0000000110011110,0,,
0000000110011111,0,,
0000000110100000,1,-54.191462,254.191462
0000000110100001,0,,
0000000110100010,1,-36.612163,236.612163
0000000110100011,0,,
0000000110100100,0,,
0000000110100101,0,,
0000000110100110,0,,
0000000110100111,0,,
0000000110101000,1,-54.191462,254.191462
0000000110101001,0,,
0000000110101010,1,-36.612163,236.612163
0000000110101011,0,,
0000000110101100,0,,
0000000110101101,0,,
0000000110101110,0,,
0000000110101111,0,,
0000000110110000,0,,
0000000110110001,0,,
0000000110110010,0,,
0000000110110011,0,,
0000000110110100,0,,
0000000110110101,0,,
0000000110110110,0,,
0000000110110111,0,,
0000000110111000,0,,
0000000110111001,0,,
0000000110111010,0,,
0000000110111011,0,,
0000000110111100,0,,
0000000110111101,0,,
0000000110111110,0,,
0000000110111111,0,,
0000000111000000,1,-11.300813,211.300813
0000000111000001,0,,
0000000111000010,1,-4.661582,204.661582
0000000111000011,0,,
0000000111000100,1,-11.300813,211.300813
0000000111000101,0,,
0000000111000110,1,-4.661582,204.661582
0000000111000111,0,,
0000000111001000,0,,
0000000111001001,0,,
0000000111001010,0,,
0000000111001011,0,,
0000000111001100,0,,
0000000111001101,0,,
0000000111001110,0,,
0000000111001111,0,,
0000000111010000,0,,
0000000111010001,0,,
0000000111010010,0,,
0000000111010011,0,,
0000000111010100,0,,
0000000111010101,0,,
0000000111010110,0,,
0000000111010111,0,,
0000000111011000,0,,
0000000111011001,0,,
0000000111011010,0,,
0000000111011011,0,,
0000000111011100,0,,
0000000111011101,0,,
0000000111011110,0,,
0000000111011111,0,,
0000000111100000,1,22.735017,177.264983
0000000111100001,1,38.017071,161.982929
0000000111100010,1,20.512794,179.487206
0000000111100011,1,35.794848,164.205152
0000000111100100,0,,
0000000111100101,0,,
0000000111100110,0,,
0000000111100111,0,,
0000000111101000,0,,
0000000111101001,0,,
0000000111101010,0,,
0000000111101011,0,,
0000000111101100,0,,
0000000111101101,0,,
0000000111101110,0,,
0000000111101111,0,,
0000000111110000,0,,
0000000111110001,0,,
0000000111110010,0,,
0000000111110011,0,,
0000000111110100,0,,
0000000111110101,0,,
0000000111110110,0,,
0000000111110111,0,,
0000000111111000,0,,
0000000111111001,0,,
0000000111111010,0,,
0000000111111011,0,,
0000000111111100,0,,
0000000111111101,0,,
0000000111111110,0,,
0000000111111111,0,,
0000001000000000,1,-199.755705,399.755705
0000001000000001,0,,
0000001000000010,1,-131.410097,331.410097
0000001000000011,0,,
0000001000000100,1,-199.755705,399.755705
0000001000000101,0,,
0000001000000110,1,-131.410097,331.410097
0000001000000111,0,,
0000001000001000,1,-199.755705,399.755705
0000001000001001,0,,
0000001000001010,1,-131.410097,331.410097
0000001000001011,0,,
0000001000001100,1,-199.755705,399.755705
0000001000001101,0,,
0000001000001110,1,-131.410097,331.410097
0000001000001111,0,,
0000001000010000,1,-199.755705,399.755705
0000001000010001,0,,
0000001000010010,1,-131.410097,331.410097
0000001000010011,0,,
0000001000010100,1,-199.755705,399.755705
0000001000010101,0,,
0000001000010110,1,-131.410097,331.410097
0000001000010111,0,,
0000001000011000,1,-199.755705,399.755705
0000001000011001,0,,
0000001000011010,1,-131.410097,331.410097
0000001000011011,0,,
0000001000011100,1,-199.755705,399.755705
0000001000011101,0,,
0000001000011110,1,-131.410097,331.410097
0000001000011111,0,,
0000001000100000,1,-147.112486,347.112486
0000001000100001,0,,
0000001000100010,1,-99.352543,299.352543
0000001000100011,0,,
0000001000100100,0,,
0000001000100101,0,,
0000001000100110,0,,
0000001000100111,0,,
0000001000101000,1,-147.112486,347.112486
0000001000101001,0,,
0000001000101010,1,-99.352543,299.352543
0000001000101011,0,,
0000001000101100,0,,
0000001000101101,0,,
0000001000101110,0,,
0000001000101111,0,,
0000001000110000,1,-147.112486,347.112486
0000001000110001,0,,
0000001000110010,1,-99.352543,299.352543
0000001000110011,0,,
0000001000110100,0,,
0000001000110101,0,,
0000001000110110,0,,
0000001000110111,0,,
0000001000111000,1,-147.112486,347.112486
0000001000111001,0,,
0000001000111010,1,-99.352543,299.352543
0000001000111011,0,,
0000001000111100,0,,
0000001000111101,0,,
0000001000111110,0,,
0000001000111111,0,,
0000001001000000,1,-94.146779,294.146779
0000001001000001,0,,
0000001001000010,1,-63.061226,263.061226
0000001001000011,0,,
0000001001000100,1,-94.146779,294.146779
0000001001000101,0,,
0000001001000110,1,-63.061226,263.061226
0000001001000111,0,,
0000001001001000,0,,
0000001001001001,0,,
0000001001001010,0,,
0000001001001011,0,,
0000001001001100,0,,
0000001001001101,0,,
0000001001001110,0,,
0000001001001111,0,,
0000001001010000,1,-94.146779,294.146779
0000001001010001,0,,
0000001001010010,1,-63.061226,263.061226
0000001001010011,0,,
0000001001010100,1,-94.146779,294.146779
0000001001010101,0,,
0000001001010110,1,-63.061226,263.061226
0000001001010111,0,,
0000001001011000,0,,
0000001001011001,0,,
0000001001011010,0,,
0000001001011011,0,,
0000001001011100,0,,
0000001001011101,0,,
0000001001011110,0,,
0000001001011111,0,,
0000001001100000,1,-50.939182,250.939182
0000001001100001,0,,
0000001001100010,1,-33.359883,233.359883
0000001001100011,0,,
0000001001100100,0,,
0000001001100101,0,,
0000001001100110,0,,
0000001001100111,0,,
0000001001101000,0,,
0000001001101001,0,,
0000001001101010,0,,
0000001001101011,0,,
0000001001101100,0,,
0000001001101101,0,,
0000001001101110,0,,
0000001001101111,0,,
0000001001110000,1,-50.939182,250.939182
0000001001110001,0,,
0000001001110010,1,-33.359883,233.359883
0000001001110011,0,,
0000001001110100,0,,
0000001001110101,0,,
0000001001110110,0,,
0000001001110111,0,,
0000001001111000,0,,
0000001001111001,0,,
0000001001111010,0,,
0000001001111011,0,,
0000001001111100,0,,
0000001001111101,0,,
0000001001111110,0,,
0000001001111111,0,,
0000001010000000,1,-94.146779,294.146779
0000001010000001,0,,
0000001010000010,1,-63.061226,263.061226
0000001010000011,0,,
0000001010000100,1,-94.146779,294.146779
0000001010000101,0,,
0000001010000110,1,-63.061226,263.061226
0000001010000111,0,,
0000001010001000,1,-94.146779,294.146779
0000001010001001,0,,
0000001010001010,1,-63.061226,263.061226
0000001010001011,0,,
0000001010001100,1,-94.146779,294.146779
0000001010001101,0,,
0000001010001110,1,-63.061226,263.061226
0000001010001111,0,,
0000001010010000,0,,
0000001010010001,0,,
0000001010010010,0,,
0000001010010011,0,,
0000001010010100,0,,
0000001010010101,0,,
0000001010010110,0,,
0000001010010111,0,,
0000001010011000,0,,
0000001010011001,0,,
0000001010011010,0,,
0000001010011011,0,,
0000001010011100,0,,
0000001010011101,0,,
0000001010011110,0,,
0000001010011111,0,,
0000001010100000,1,-50.939182,250.939182
0000001010100001,0,,
0000001010100010,1,-33.359883,233.359883
0000001010100011,0,,
0000001010100100,0,,
0000001010100101,0,,
0000001010100110,0,,
0000001010100111,0,,
0000001010101000,1,-50.939182,250.939182
0000001010101001,0,,
0000001010101010,1,-33.359883,233.359883
0000001010101011,0,,
0000001010101100,0,,
0000001010101101,0,,
0000001010101110,0,,
0000001010101111,0,,
0000001010110000,0,,
0000001010110001,0,,
0000001010110010,0,,
0000001010110011,0,,
0000001010110100,0,,
0000001010110101,0,,
0000001010110110,0,,
0000001010110111,0,,
0000001010111000,0,,
0000001010111001,0,,
0000001010111010,0,,
0000001010111011,0,,
0000001010111100,0,,
0000001010111101,0,,
0000001010111110,0,,
0000001010111111,0,,
0000001011000000,1,-9.166992,209.166992
0000001011000001,0,,
0000001011000010,1,-2.52776,202.52776
0000001011000011,0,,
0000001011000100,1,-9.166992,209.166992
0000001011000101,0,,
0000001011000110,1,-2.52776,202.52776
0000001011000111,0,,
0000001011001000,0,,
0000001011001001,0,,
0000001011001010,0,,
0000001011001011,0,,
0000001011001100,0,,
0000001011001101,0,,
0000001011001110,0,,
0000001011001111,0,,
0000001011010000,0,,
0000001011010001,0,,
0000001011010010,0,,
0000001011010011,0,,
0000001011010100,0,,
0000001011010101,0,,
0000001011010110,0,,
0000001011010111,0,,
0000001011011000,0,,
0000001011011001,0,,
0000001011011010,0,,
0000001011011011,0,,
0000001011011100,0,,
0000001011011101,0,,
0000001011011110,0,,
0000001011011111,0,,
0000001011100000,1,24.868838,175.131162
0000001011100001,1,39.93751,160.06249
0000001011100010,1,22.646616,177.353384
0000001011100011,1,37.715287,162.284713
0000001011100100,0,,
0000001011100101,0,,
0000001011100110,0,,
0000001011100111,0,,
0000001011101000,0,,
0000001011101001,0,,
0000001011101010,0,,
0000001011101011,0,,
0000001011101100,0,,
0000001011101101,0,,
0000001011101110,0,,
0000001011101111,0,,
0000001011110000,0,,
0000001011110001,0,,
0000001011110010,0,,
0000001011110011,0,,
0000001011110100,0,,
0000001011110101,0,,
0000001011110110,0,,
0000001011110111,0,,
0000001011111000,0,,
0000001011111001,0,,
0000001011111010,0,,
0000001011111011,0,,
0000001011111100,0,,
0000001011111101,0,,
0000001011111110,0,,
0000001011111111,0,,
0000001100000000,1,-165.977368,365.977368
0000001100000001,0,,
0000001100000010,1,-108.466321,308.466321
0000001100000011,0,,
0000001100000100,1,-165.977368,365.977368
0000001100000101,0,,
0000001100000110,1,-108.466321,308.466321
0000001100000111,0,,
0000001100001000,1,-165.977368,365.977368
0000001100001001,0,,
0000001100001010,1,-108.466321,308.466321
0000001100001011,0,,
0000001100001100,1,-165.977368,365.977368
0000001100001101,0,,
0000001100001110,1,-108.466321,308.466321
0000001100001111,0,,
0000001100010000,1,-165.977368,365.977368
0000001100010001,0,,
0000001100010010,1,-108.466321,308.466321
0000001100010011,0,,
0000001100010100,1,-165.977368,365.977368
0000001100010101,0,,
0000001100010110,1,-108.466321,308.466321
0000001100010111,0,,
0000001100011000,1,-165.977368,365.977368
0000001100011001,0,,
0000001100011010,1,-108.466321,308.466321
0000001100011011,0,,
0000001100011100,1,-165.977368,365.977368
0000001100011101,0,,
0000001100011110,1,-108.466321,308.466321
0000001100011111,0,,
0000001100100000,1,-146.475159,346.475159
0000001100100001,0,,
0000001100100010,1,-98.715216,298.715216
0000001100100011,0,,
0000001100100100,1,-140.86668,340.86668
0000001100100101,0,,
0000001100100110,1,-93.106737,293.106737
0000001100100111,0,,
0000001100101000,1,-146.475159,346.475159
0000001100101001,0,,
0000001100101010,1,-98.715216,298.715216
0000001100101011,0,,
0000001100101100,1,-140.86668,340.86668
0000001100101101,0,,
0000001100101110,1,-93.106737,293.106737
0000001100101111,0,,
0000001100110000,1,-146.475159,346.475159
0000001100110001,0,,
0000001100110010,1,-98.715216,298.715216
0000001100110011,0,,
0000001100110100,1,-140.86668,340.86668
0000001100110101,0,,
0000001100110110,1,-93.106737,293.106737
0000001100110111,0,,
0000001100111000,1,-146.475159,346.475159
0000001100111001,0,,
0000001100111010,1,-98.715216,298.715216
0000001100111011,0,,
0000001100111100,1,-140.86668,340.86668
0000001100111101,0,,
0000001100111110,1,-93.106737,293.106737
0000001100111111,0,,
0000001101000000,1,-67.422506,267.422506
0000001101000001,0,,
0000001101000010,1,-43.445508,243.445508
0000001101000011,0,,
0000001101000100,1,-67.422506,267.422506
0000001101000101,0,,
0000001101000110,1,-43.445508,243.445508
0000001101000111,0,,
0000001101001000,0,,
0000001101001001,0,,
0000001101001010,0,,
0000001101001011,0,,
0000001101001100,0,,
0000001101001101,0,,
0000001101001110,0,,
0000001101001111,0,,
0000001101010000,1,-67.422506,267.422506
0000001101010001,0,,
0000001101010010,1,-43.445508,243.445508
0000001101010011,0,,
0000001101010100,1,-67.422506,267.422506
0000001101010101,0,,
0000001101010110,1,-43.445508,243.445508
0000001101010111,0,,
0000001101011000,0,,
0000001101011001,0,,
0000001101011010,0,,
0000001101011011,0,,
0000001101011100,0,,
0000001101011101,0,,
0000001101011110,0,,
0000001101011111,0,,
0000001101100000,1,-50.521031,250.521031
0000001101100001,0,,
0000001101100010,1,-32.941733,232.941733
0000001101100011,0,,
0000001101100100,1,-46.841308,246.841308
0000001101100101,0,,
0000001101100110,1,-29.26201,229.26201
0000001101100111,0,,
0000001101101000,0,,
0000001101101001,0,,
0000001101101010,0,,
0000001101101011,0,,
0000001101101100,0,,
0000001101101101,0,,
0000001101101110,0,,
0000001101101111,0,,
0000001101110000,1,-50.521031,250.521031
0000001101110001,0,,
0000001101110010,1,-32.941733,232.941733
0000001101110011,0,,
0000001101110100,1,-46.841308,246.841308
0000001101110101,0,,
0000001101110110,1,-29.26201,229.26201
0000001101110111,0,,
0000001101111000,0,,
0000001101111001,0,,
0000001101111010,0,,
0000001101111011,0,,
0000001101111100,0,,
0000001101111101,0,,
0000001101111110,0,,
0000001101111111,0,,
0000001110000000,1,-67.422506,267.422506
0000001110000001,0,,
0000001110000010,1,-43.445508,243.445508
0000001110000011,0,,
0000001110000100,1,-67.422506,267.422506
0000001110000101,0,,
0000001110000110,1,-43.445508,243.445508
0000001110000111,0,,
0000001110001000,1,-67.422506,267.422506
0000001110001001,0,,
0000001110001010,1,-43.445508,243.445508
0000001110001011,0,,
0000001110001100,1,-67.422506,267.422506
0000001110001101,0,,
0000001110001110,1,-43.445508,243.445508
0000001110001111,0,,
0000001110010000,0,,
0000001110010001,0,,
0000001110010010,0,,
0000001110010011,0,,
0000001110010100,0,,
0000001110010101,0,,
0000001110010110,0,,
0000001110010111,0,,
0000001110011000,0,,
0000001110011001,0,,
0000001110011010,0,,
0000001110011011,0,,
0000001110011100,0,,
0000001110011101,0,,
0000001110011110,0,,
0000001110011111,0,,
0000001110100000,1,-50.521031,250.521031
0000001110100001,0,,
0000001110100010,1,-32.941733,232.941733
0000001110100011,0,,
0000001110100100,1,-46.841308,246.841308
0000001110100101,0,,
0000001110100110,1,-29.26201,229.26201
0000001110100111,0,,
0000001110101000,1,-50.521031,250.521031
0000001110101001,0,,
0000001110101010,1,-32.941733,232.941733
0000001110101011,0,,
0000001110101100,1,-46.841308,246.841308
0000001110101101,0,,
0000001110101110,1,-29.26201,229.26201
0000001110101111,0,,
0000001110110000,0,,
0000001110110001,0,,
0000001110110010,0,,
0000001110110011,0,,
0000001110110100,0,,
0000001110110101,0,,
0000001110110110,0,,
0000001110110111,0,,
0000001110111000,0,,
0000001110111001,0,,
0000001110111010,0,,
0000001110111011,0,,
0000001110111100,0,,
0000001110111101,0,,
0000001110111110,0,,
0000001110111111,0,,
0000001111000000,1,11.360132,188.639868
0000001111000001,0,,
0000001111000010,1,13.335441,186.664559
0000001111000011,0,,
0000001111000100,1,11.360132,188.639868
0000001111000101,0,,
0000001111000110,1,13.335441,186.664559
0000001111000111,0,,
0000001111001000,0,,
0000001111001001,0,,
0000001111001010,0,,
0000001111001011,0,,
0000001111001100,0,,
0000001111001101,0,,
0000001111001110,0,,
0000001111001111,0,,
0000001111010000,0,,
0000001111010001,0,,
0000001111010010,0,,
0000001111010011,0,,
0000001111010100,0,,
0000001111010101,0,,
0000001111010110,0,,
0000001111010111,0,,
0000001111011000,0,,
0000001111011001,0,,
0000001111011010,0,,
0000001111011011,0,,
0000001111011100,0,,
0000001111011101,0,,
0000001111011110,0,,
0000001111011111,0,,
0000001111100000,1,25.143186,174.856814
0000001111100001,1,40.184423,159.815577
0000001111100010,1,22.920964,177.079036
0000001111100011,1,37.962201,162.037799
0000001111100100,1,27.557452,172.442548
0000001111100101,1,42.357263,157.642737
0000001111100110,1,25.33523,174.66477
0000001111100111,1,40.13504,159.86496
0000001111101000,0,,
0000001111101001,0,,
0000001111101010,0,,
0000001111101011,0,,
0000001111101100,0,,
0000001111101101,0,,
0000001111101110,0,,
0000001111101111,0,,
0000001111110000,0,,
0000001111110001,0,,
0000001111110010,0,,
0000001111110011,0,,
0000001111110100,0,,
0000001111110101,0,,
0000001111110110,0,,
0000001111110111,0,,
0000001111111000,0,,
0000001111111001,0,,
0000001111111010,0,,
0000001111111011,0,,
0000001111111100,0,,
0000001111111101,0,,
0000001111111110,0,,
0000001111111111,0,,
0000010000000000,1,-204.712694,404.712694
0000010000000001,0,,
0000010000000010,1,-136.367085,336.367085
0000010000000011,0,,
0000010000000100,1,-204.712694,404.712694
0000010000000101,0,,
0000010000000110,1,-136.367085,336.367085
0000010000000111,0,,
0000010000001000,1,-204.712694,404.712694
0000010000001001,0,,
0000010000001010,1,-136.367085,336.367085
0000010000001011,0,,
0000010000001100,1,-204.712694,404.712694
0000010000001101,0,,
0000010000001110,1,-136.367085,336.367085
0000010000001111,0,,
0000010000010000,1,-204.712694,404.712694
0000010000010001,0,,
0000010000010010,1,-136.367085,336.367085
0000010000010011,0,,
0000010000010100,1,-204.712694,404.712694
0000010000010101,0,,
0000010000010110,1,-136.367085,336.367085
0000010000010111,0,,
0000010000011000,1,-204.712694,404.712694
0000010000011001,0,,
0000010000011010,1,-136.367085,336.367085
0000010000011011,0,,
0000010000011100,1,-204.712694,404.712694
0000010000011101,0,,
0000010000011110,1,-136.367085,336.367085
0000010000011111,0,,
0000010000100000,1,-121.122287,321.122287
